TotalRelatorio,Codigo,Descricao_Produto,Categoria,Quantidade,Preco,Atributos,Deposito,Marca,ValorTotal,NCM,Unidade
"R$ 35.167.575,97",M2490-1,DOCE PASTOSO COM CHOCOLATE 450G,Mercearia,"-5,00","R$ 14,99",,Loja,REI DO DOCE ,"-R$ 74,95",20081900,UN
"R$ 35.167.575,97",M2487-1,DOCE PASTOSO COM COCO 450G,Mercearia,"-8,00","R$ 14,99",,Loja,REI DO DOCE ,"-R$ 119,92",20081900,UN
"R$ 35.167.575,97",M2489-1,DOCE PASTOSO COM GELEIA DE PIMENTA 450G,Mercearia,"-3,00","R$ 14,99",,Loja,REI DO DOCE ,"-R$ 44,97",20081900,UN
"R$ 35.167.575,97",M788-1,DOCE PASTOSO COM LEITE 680G,Mercearia,"-12,00","R$ 21,99",,Loja,FRANCHESCO,"-R$ 263,88",19019020,UN
"R$ 35.167.575,97",M789-1,DOCE PASTOSO COM LEITE E GELEIA DE AMEIXA 680G,Mercearia,"-13,00","R$ 21,99",,Loja,FRANCHESCO,"-R$ 285,87",19019020,UN
"R$ 35.167.575,97",M941-1,DOCE SABOR LEITE COM CHOCOLATE,Mercearia,"-12,00","R$ 3,00",,Loja,.,"-R$ 36,00",20081100,UN
"R$ 35.167.575,97",M429-1,DOCES DIVERSOS,Mercearia,"-635,00","R$ 3,00",,Loja,MARUMAR,"-R$ 1.905,00",20081100,UN
"R$ 35.167.575,97",M942-1,DOCES ELIS PALITO,Mercearia,"-194,00","R$ 3,00",,Loja,.,"-R$ 582,00",20081100,UN
"R$ 35.167.575,97",M944-1,DOLCE SABOR LEITE COM COCO,Mercearia,"-26,00","R$ 3,00",,Loja,NOPONTO,"-R$ 78,00",20081100,UN
"R$ 35.167.575,97",M1047-1,DORITOS DINAM FLAMIN HOT 60G,Mercearia,"-5,00","R$ 5,99",,Loja,PEPSICO,"-R$ 29,95",19059090,UN
"R$ 35.167.575,97",M1034-1,DORITOS NACHO 120G,Mercearia,"-38,00","R$ 15,00",,Loja,PEPSICO,"-R$ 570,00",19059090,UN
"R$ 35.167.575,97",M1048-1,DORITOS NACHO 37G,Mercearia,"-52,00","R$ 5,99",,Loja,PEPSICO,"-R$ 311,48",19059090,UN
"R$ 35.167.575,97",M1041-1,DORITOS NACHO 75G,Mercearia,"-43,00","R$ 10,50",,Loja,PEPSICO,"-R$ 451,50",19059090,UN
"R$ 35.167.575,97",M2422-1,DROPS HALLS MELANCIA,Mercearia,"3,00","R$ 2,00",,Loja,HALLS,"R$ 6,00",17049020,UN
"R$ 35.167.575,97",78938830,DROPS HALLS MENTA,Mercearia,"16,00","R$ 2,50",,Loja,HALLS,"R$ 40,00",17049020,UN
"R$ 35.167.575,97",M1998-1,DROPS HALLS MENTOL,Mercearia,"13,00","R$ 2,50",,Loja,HALLS,"R$ 32,50",17049020,UN
"R$ 35.167.575,97",M85-1,"DROPS MENTOS FRUTAS 37,5G",Mercearia,"-3,00","R$ 3,00",,Loja,MENTOS,"-R$ 9,00",17049020,UN
"R$ 35.167.575,97",7898046373423,ERVAS FINAS 06G,Mercearia,"-19,00","R$ 1,99",,Loja,CONDINEW,"-R$ 37,81",09109900,UN
"R$ 35.167.575,97",M203-1,ERVILHA PREDILECTA 170G,Mercearia,"4,00","R$ 4,20",,Loja,PREDILECTA,"R$ 16,80",20054000,UN
"R$ 35.167.575,97",M938-1,ERVILHAS OLE,Mercearia,"0,00","R$ 3,50",,Loja,.,"R$ 0,00",07081000,UN
"R$ 35.167.575,97",7908214754081,ESCOVA DENTAL CLEAN B,Mercearia,"-13,00","R$ 3,99",,Loja,CLEAN B ,"-R$ 51,87",96032100,UN
"R$ 35.167.575,97",M743-1,ESCOVA OVAL PLASTICO,Mercearia,"-6,00","R$ 5,25",,Loja,CLAMAX,"-R$ 31,50",96039000,UN
"R$ 35.167.575,97",M1805-1,ESP SCOTCH-BRITE 3M D.FACE UNIT PROFISS,Mercearia,"0,00","R$ 2,50",,Loja,SCOTCH,"R$ 0,00",68053090,UN
"R$ 35.167.575,97",M1361-1,ESPETO PARA COSTELA DE CHÃO,Mercearia,"0,00","R$ 225,00",,Loja,.,"R$ 0,00",84198190,UN
"R$ 35.167.575,97",7898509280947,ESPONJA SUPER PRO,Mercearia,"-69,00","R$ 1,70",,Loja,SUPER PRO ,"-R$ 117,30",68053090,UN
"R$ 35.167.575,97",M615-1,ESSENCIA AROMASIL 140ML CITRONELA,Mercearia,"4,00","R$ 10,50",,Loja,.,"R$ 42,00",33029019,UN
"R$ 35.167.575,97",M15-1,EXTRATO TOMATE ELEFANTE 300G,Mercearia,"9,00","R$ 8,90",,Loja,Elefante,"R$ 80,10",20029000,UN
"R$ 35.167.575,97",M625-1,FACA REFEICAO PLASTICO 50 UNIDADES,Mercearia,"-1,00","R$ 3,80",,Loja,.,"-R$ 3,80",39241000,UN
"R$ 35.167.575,97",M1045-1,FANDANGOS PRESUNTO 105G,Mercearia,"-7,00","R$ 10,50",,Loja,PEPSICO,"-R$ 73,50",19041000,UN
"R$ 35.167.575,97",M1056-1,FANDANGOS PRESUNTO 37G,Mercearia,"-1,00","R$ 4,50",,Loja,PEPSICO,"-R$ 4,50",19041000,UN
"R$ 35.167.575,97",M2744-1,FANDANGOS PRESUNTO 85GX15,Mercearia,"0,00","R$ 10,50",,Loja,FANDANGOS,"R$ 0,00",19041000,UN
"R$ 35.167.575,97",M1055-1,FANDANGOS QUEIJO 37G,Mercearia,"0,00","R$ 4,50",,Loja,PEPSICO,"R$ 0,00",19041000,UN
"R$ 35.167.575,97",M1983-1,FANDANGOS QUEIJO 85G,Mercearia,"-35,00","R$ 10,99",,Loja,ruffles,"-R$ 384,65",19041000,UN
"R$ 35.167.575,97",7894900093056,FANTA GUARANA  2L,Mercearia,"-9,00","R$ 11,90",,Loja,COCA COLA,"-R$ 107,10",22021000,UN
"R$ 35.167.575,97",M2371-1,FARINHA AVEIA YOKI 170G,Mercearia,"6,00","R$ 5,99",,Loja,YOKI,"R$ 35,94",11029000,UN
