TextBox1,aTSV_MerchandiseCustomCodeDataTextBox,aTSV_MerchandiseDescriptionDataTextBox,aTSV_BrandDescriptionDataTextBox,aTNU_SaleQuantityDataTextBox,TextBox3
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M811-1,TEMPERO DO EDUARDO 20G,CONDINEW,45,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,12121212,TEMPERO DIVERSOS,TEMPEROS,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M807-1,TEMPERO BAIANO 20G,CONDINEW,44,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,18474825,TEMPERO ANA MARIA 500G,.,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M756-1,TEMPERO - PIMENTAO E TOMILHO 23G,KNORR,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M735-1,"TEMPERO - ALHO, CEBOLA E CURCUMA 23G",KNORR,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M736-1,TEMPERO - ALHO E CEBOLA 23G,KNORR,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M143-1,TAPIOCA AMAFIL 500G,AMAFIL,13,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1002-1,TALHER PLASTICO,ELITE,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896020160052,TALCO TENYS PE BARUEL PO 100G,BARUEL,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896002312493,TAKIS NACHO,BIMBO,14,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2696-1,TAKIS HOT CHILLI 49G,BIMBO,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2458-1,TAKIS CARNE LOUCA 49G,TAKIS,8,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2457-1,TAKIS BUCKIN RANCH 49G,TAKIS,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M433-1,TAFFMAN EX 110ML,YAKULT,37,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2636-1,SUPLEMENTO A TNT UVA 500ML,TNT,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2462-1,SUPER BONDER 3G ORIGINAL,SUPER BONDE,8,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1644-1,SUNDAE CHOCOLATE 100G,VIVOLI,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1630-1,SUKITA LARANJA 2l,SUKITA,11,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7899916919901,SUCO THE NATURAL ONE FRESH UVA 900ML,THE NATURAL ONE,8,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7899916919963,SUCO THE NATURAL ONE FRESH TANGERINA 900ML,THE NATURAL ONE,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7899916919987,SUCO THE NATURAL ONE FRESH PESSEGO 900ML,THE NATURAL ONE,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7899916919888,SUCO THE NATURAL ONE FRESH MACA VERDE 900ML,THE NATURAL ONE,1,Todos
