TextBox1,aTSV_MerchandiseCustomCodeDataTextBox,aTSV_MerchandiseDescriptionDataTextBox,aTSV_BrandDescriptionDataTextBox,aTNU_SaleQuantityDataTextBox,TextBox3
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2407-1,CHOCOLATE AMARGO 73 CACAU,HERSHEYS,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896025992887,CHINOTTO 269ML,CHINOTTO ,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M804-1,CHIMICHURRI 10G,CONDINEW,61,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2199-1,CHICLE TRIDENT TUTTI-FRUTTI,TRIDENT,11,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1621-1,CHICLE TRIDENT MORANGO,TRIDENT,11,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M954-1,CHICLE TRIDENT MENTA,TRIDENT,28,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M953-1,CHICLE TRIDENT MELANCIA,TRIDENT,34,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M955-1,CHICLE TRIDENT HORTELA,TRIDENT,26,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M956-1,CHICLE TRIDENT CANELA,TRIDENT,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1874-1,CHICKEN CRISPY 300G,SEARA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,080,CHEIRO VERDE,.,384,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1981-1,CHEETOS ONDA REQUEIJAO 39G,ruffles,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1980-1,CHEETOS ONDA REQ 90G,ruffles,23,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1978-1,CHEETOS MIX 70G,RUFLLES,21,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1979-1,CHEETOS LUA 80G,ruffles,21,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1982-1,CHEETOS LUA 34G,ruffles,11,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7891000252819,CHAMYTO MORANGO 100G,CHAMYTO,6,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7891000360668,CHAMYTO FRUTAS 100G,CHAMYTO,17,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1960-1,CHAMYTO 100G,CHAMYTO,6,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M915-1,CHAMPIGNON INTEIRO EM CONSERVAS 130G,TOZZI,27,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1546-1,CHALISE 750ML VINHO SUAVE,CHELISE,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M240-1,CHA LEAO MATTE 40G SAQUINHO NATURAL,LEAO ,6,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2771-1,CHA LEAO MATTE 250G GRANEL NATURAL,MATTE LEAO,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1030-1,CHÃ LEÃO ERVA-DOCE 16G,MATE LEÃO,9,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1184-1,CHA LEAO CAPIM-CIDREIRA 20G,CHA LEAO,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1031-1,CHA LEÃO CAMOMILA 10G,MATE LEÃO,11,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2786-1,CHA LEAO 10G SAQ HORTELA,LEAO ,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M899-1,CERVEJA STELLA ARTOIS 330ML,.,33,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1166-1,CERVEJA SPATEN 330ML,SPATEN,8,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2441-1,CERVEJA SKOL SEM ALCOOL 350ML,AMBEV,64,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M824-1,CERVEJA SKOL PILSEN 350ML,SKOL,863,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7891991307680,CERVEJA SKOL 350ML 12 UNIDADES,SKOL,92,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1340-1,CERVEJA SKOL 269 ML 12 UND,SKOL,73,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M597-1,CERVEJA PETRA 350ML,PETRA,87,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M849-1,CERVEJA ITAIPAVA SEM ALCOOL 350ML,ITAIPAVA,45,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M73-1,CERVEJA ITAIPAVA PILSEN 350ML,ITAIPAVA,700,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M844-1,CERVEJA ITAIPAVA 350 ML 12 UNIDADES,ITAIPAVA,84,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2637-1,CERVEJA IMPERIO SEM ALCOOL 330ML,IMPERIO ,26,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M993-1,CERVEJA IMPERIO PILSEN 350ML,IMPERIO ,122,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1138-1,CERVEJA IMPERIO GOLD 269ML,IMPERIO ,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1169-1,CERVEJA HEINEKEN 330ML LONGNECK 6UN,HEINEKEN,16,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M841-1,CERVEJA ESCURA CARACU 350ML,CARACU,31,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M836-1,CERVEJA BUDWEISER LONG NECK 330ML,BUDWEISER,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1200-1,CERVEJA BUDWEISER LATA 350ML,BUDWEISER,33,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M866-1,CERVEJA BRAHMA MALZBIER 350ML,BRAHMA,22,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M860-1,CERVEJA BRAHMA CHOPP 350 ML,BRAHMA,33,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M865-1,CERVEJA BHAMA DUPLO MALTE 350ML,BRAHMA,74,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1028-1,CERVEJA ANTARTICA LATA 350ML,AMBEV,33,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M869-1,CERVEJA AMSTEL LAFER 350ML,AMSTER ,58,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M197-1,CEREAL MATINAL NESCAU 120G,NESCAU,14,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000166,CENOURA,.,"96,76",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1976-1,CEBOLITOS 91G,ruffles,26,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1977-1,CEBOLITOS 35G,RUFLLES,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000165,CEBOLA,.,"360,47",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M411-1,CAVEIRA RECHEADA 80G,FINI,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M564-1,CATUABA SELVAGEM,.,21,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M175-1,CATCHUP QUERO 400G TRADICIONAL,QUERO,53,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2617-1,CATCHUP HELLMANNS 380G,HELLMANS ,9,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M174-1,CATCHUP HEINZ 260G TRADICIONAL,HEINZ,6,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896040704625,CASA E PERFUME AGRADABLE 500ML,CASA E PERFUME ,16,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,303030,CARVAO 5KG,.,124,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,151515,"CARVAO 2,5KG",.,162,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,505050,CARVAO 10KG,.,87,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2374-1,CARNE SALGADA DE SUINO COM OSSO-RECORTES DE COSTELA-AURORA,AURORA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000012,CARNE SALGADA CURADA DESSECADA DE BOVINO,JA,"146,799",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2474-1,CARNE RESFRIADA DE FRANGO,GTF,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000011,CARNE MOIDA BOVINA,.,"20,433",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7891010015268,CAREFREE,CAREFREE,6,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000010,CAPA DE FILE,.,"5,952",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1634-1,CANUDO DOCE DE LEITE,LAGO SILVEIRA,17,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M25-1,CANJICA AMAFIL 500G BRANCA,AMAFIL,28,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1152-1,CANELINHA TAVERNA 900ML,TAVERNA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M797-1,CANELA EM PO 16G,CONDINEW,21,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M795-1,CANELA CASCA 16G,CONDINEW,17,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2299-1,CAMPARI GARRAFA 748ml,CAMPARI,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M796-1,CAMOMILA 6G,CONDINEW,15,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M216-1,CALDO MAGGI 57G GALINHA,MAGGI,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M289-1,CALDO KNORR 57G GALINHA,KNORR,17,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M288-1,CALDO KNORR 57G CARNE,KNORR,27,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1181-1,CALDO DE LEGUMES 57G,Apti,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1179-1,CALDO DE COSTELA 57G,Apti,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1180-1,CALDO DE BACON 57G,Apti,9,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M24-1,CALDO APTI 57G GALINHA,Apti,12,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M19-1,CALDO APTI 57G CARNE,Apti,12,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1161-1,CAIXA SKOL 269ML 15UND,SKOL,47,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1158-1,CAIXA ORIGINAL 269ML 8LATAS,ORIGINAL,49,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2223-1,CAIXA ORIGINAL 269ML 15 LATAS,ORIGINAL,67,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7891991016001,CAIXA ORIGINAL 12 UND LATA 350ML,ORIGINAL,14,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1485-1,CAIXA HEINEKEN 350ML 12LATAS,HEINEKEN,14,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1159-1,CAIXA HEINEKEN 269ML 8LATAS,HEINEKEN,17,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,17896256600220,CAIXA DE LEITE TIROL,TIROL,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1581-1,CAIXA CERVEJA IMPERIO PILSEN 12UND 350ML,IMPERIO ,15,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1264-1,CAIXA CERVEJA BRAHMA CHOPP 12UND,BRAHMA,6,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1674-1,CAIXA C/ 12 - LEITE INTEGRAL,AURORA,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1610-1,CAIXA BUDWEISER LATA 269ML,BUDWEISER,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1393-1,CAIXA BHAMA DUPLO MALTE 350ML 12LATAS,BRAHMA,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1160-1,CAIXA ANTARTICA 350ML 12LATAS,ANTARTICA,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1545-1,CAFE UNIAO 500G EXTRAFORTE,UNIAO,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1535-1,CAFE PILAO TRADICIONAL 500G,PILAO,181,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1615-1,CAFE PILAO EXTRAFORTE 500G,PILAO,58,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896089088656,CAFE PILAO 40G SOLUVEL,PILAO,9,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M176-1,CAFE CABOCLO 500G TRADICIONAL,CABOCLO,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M187-1,CAFE BRASILEIRO 250G TRADICIONAL,BRASILEIRO,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M723-1,CAFE 500G TRADICIONAL,CAIÇARA,33,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M722-1,CAFE 500G EXTRAFORTE,CAIÇARA,32,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M727-1,CAFE 250G TRADICIONAL,CAIÇARA,13,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M729-1,CAFE 250G EXTRAFORTE,CAIÇARA,31,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M997-1,CACHAÇA ITUPEVA,.,23,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M565-1,CACHACA 51,.,13,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1377-1,CABARE ICE FRUTAS AMARELA 275ML,CABARE,14,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7891991298421,BUDWEISER ZERO LONG NECK 330ML,AMBEV,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1372-1,BUDWEISER ZERO 350ML,BUD,9,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1389-1,BUDWEISER LATA 269ML,BUDWEISER,16,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000009,BUCHO BOVINO,.,"81,912",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M740-1,BUCHA VEGETAL,QUALLY,9,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7891164149994,BROCOLIS,AURORA,38,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1495-1,BRILHANTE  800G CUIDADO TOTAL,BRILHANTE,9,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1431-1,BRAHMA ZERO LATA 350ML,BRAHMA,86,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2581-1,BRAHMA CHOPP ZERO LATA 350ML,BRAHMA,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7891000325131,BOMBOM NESTLE 251G ESPECIALIDADES,NESTLE,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7891000457467,BOMBOM NESTLE 220G ESPECIALIDADES,NESTLE,28,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M116-1,"BOMBOM LACTA  250,6G FAVORITOS",LACTA,19,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7891000457092,BOMBOM GAROTO 220G SORTIDOS,GAROTO,14,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M151-1,BOM AR AERO 360ML LAVANDA,AERO,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2409-1,BOLO SABOR MARMORE 250G,SEVENBOYS,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2408-1,BOLO SABOR CHOCOLATE 250G,SEVENBOYS,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M554-1,BOLO FRAPE 250G,BIMBO,9,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1189-1,BOLO DE LARANJA 250G BIMBO,PULMANN,10,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2411-1,BOLO DE LARANJA 250G,SEVENBOYS,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M555-1,BOLO DE GOTAS DE CHOCOLATE 250G,BIMBO,11,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1751-1,BOLO DE FRAPE 300G,DLEO,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1750-1,BOLO DE COCO 300G,DLEO,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2410-1,BOLO DE COCO 250G,SEVENBOYS,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1755-1,BOLO DE CHOCOLATE 300G,DLEO,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M403-1,BOLO DE CHOCOLATE 250G PULLMAN,BIMBO,11,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1441-1,BOLO CASEIRO CLASSIC BOLOS 500G,CLASSIC BOLOS,54,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2660-1,BOLINHA DE QUEIJO 500G,A CASA DO SALGADO,9,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1731-1,BOLACHGA CAVAQUINHA 400G,BEM MINERIN,16,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1729-1,BOLACHA ENROLADA SIMPLES 400G,BEM MINERIN,9,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1732-1,BOLACHA ENROLADA DE COCO 400G,BEM MINERIN,37,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1730-1,BOLACHA CAVAQUINHA DE COCO 400G,BEM MINERIN,19,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000121,BISTECA SUINA,.,"576,267",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M402-1,BISNAGUITO 300G  PULLMAN,BIMBO,33,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2572-1,BISNAGA ARTESANO NA CHAPA 300g,BIMBO,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2576-1,BISNAGA ARTESANO 300G,BIMBO,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896061302862,BISCOITO TUCS DIN CRACKERS 320G,TUCS,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M119-1,BISCOITO TUCS DIN CRACKERS 100G,TUCS,49,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M118-1,BISCOITO TUCS DIN CRACKERS 100G,TUCS,80,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2393-1,BISCOITO TRAKINAS MORANGO 126G,TRAKINAS,84,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M236-1,BISCOITO TRAKINAS 126G CHOCOLATE,TRAKINAS,64,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M424-1,BISCOITO POVILHO 80G,CAMILA,45,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M145-1,BISCOITO OREO RECH 90G ORIGINAL BAUNILHA,OREO,49,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M33-1,BISCOITO NIKITO RECHEADO120G CHOCOLATE,NIKITO,39,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2394-1,BISCOITO NIKITO MORANGO 120G,NIKITO,35,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7891000376768,BISCOITO NEGRESCO 90G BAUNILHA,NEGRESCO,9,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896003740226,BISCOITO MARILAN MAIZENA 350G,Marilan,56,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896003740240,BISCOITO MARILAN LEITE 350G,Marilan,41,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M284-1,BISCOITO MARILAN AGUA E SAL 350G,Marilan,44,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M234-1,BISCOITO MABEL ROSQUINHA 300G LEITE,MABEL,38,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M233-1,BISCOITO MABEL ROSQUINHA 300G COCO,MABEL,50,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896071030014,BISCOITO MABEL ROSQUINHA 300G CHOCOLATE,MABEL,42,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2733-1,BISCOITO LOOK 55G FLORESTA NEGRA,LOOK ,12,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1855-1,BISCOITO ITAMARATY LOOK 55G CHOCOLATE,ITAMARATY,104,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,835281000599,BISCOITO ITAMARATY LOOK 55G,ITAMARATY,21,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898176550367,BISCOITO FOFINHO MORANGO 110G,FOFINHO ,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898176550312,BISCOITO FOFINHO CHOCOLATE 110G,FOFINHO ,1,Todos
